,V1,V2,V3,V4,V5,Intro,Intro,1,2,2._TEXT,3._1,3._2,3._3,3._4,3._5,3._7,3._8,3._9,3._10,3._11,3._12,3._13,3._14,3._15,3._16,3.5_2,3.5_3,3.5_4,3.5_5,Info,4._1,4._2,5,6,Info,7._1,7._2,7._3,7._4,7._5,7._6,7._7,8._1_Group,8._1_Rank,8._2_Group,8._2_Rank,8._3_Group,8._3_Rank,8._4_Group,8._4_Rank,8._5_Group,8._5_Rank,8._6_Group,8._6_Rank,8._7_Group,8._7_Rank,9._10_Group,9._10_Rank,9._11_Group,9._11_Rank,9._12_Group,9._12_Rank,9._13_Group,9._13_Rank,Info,10._1,10._2,10._3,10._4,11._10_Group,11._10_Rank,11._11_Group,11._11_Rank,11._12_Group,11._12_Rank,11._13_Group,11._13_Rank,11.5,11.5_TEXT,12._1,12._2,13._1,14._1,15,End
28,R_9ZDzZsvktoriwlL,Default Response Set,8/30/13 9:06,8/30/13 9:08,1,1,1,4 or more reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,Engineering,,,,,,,,,,,,,1,2010,When Weather Matters: Science and Service to Meet Critical Societal Needs,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
29,R_1XJbQO5Rdd2mR37,Default Response Set,8/30/13 9:27,8/30/13 9:33,1,1,1,1 report,Industry professional,,,,,Biology,,,,,,Medical Sciences,,,,,,,,Molecular Biology,,1,2010,Sequence-Based Classification of Select Agents: A Brighter Line,No,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
30,R_6sUmvho1Z24lhMF,Default Response Set,8/30/13 11:14,8/30/13 11:19,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,Geology and Geography,,,,,,,,,,,,1,2010,,Yes,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Strongly Agree,"Your list of existing reports did not include the ones that I served on so perhaps my responses won't be as helpful. But these reports did have ecologists involved: /  / 2010 - Understanding the Changing Planet: Strategic Directions for the Geographical Sciences, Washington, DC: National Academy of Sciences Press, 172 pp. (ISBN 0-309-15075-2). /  / 2011 - An Ocean Infrastructure Strategy for U.S. Ocean Research in 2030, Washington, DC: National Academy of Sciences Press, 98 pp. (ISBN 0-309-18603-X).",1
31,R_esAyuMtnZQd8tN3,Default Response Set,8/30/13 11:23,8/30/13 11:30,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,,Natural Resources,,,,,,,,,1,2010,A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California's Bay Delta,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Important,Unable to Rate,Unable to Rate,Somewhat Important,Unable to Rate,Neither Important nor Unimportant,Factor Importance,6,Factor Importance,4,Factor Importance,3,Factor Importance,2,Factor Importance,5,Factor Importance,1,Factor Importance,7,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,1,Infrequently,Always,Frequently,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,,,Agree,Disagree,Agree,Strongly Agree,,1
32,R_6W4RTdsHTPegeMd,Default Response Set,8/30/13 12:18,8/30/13 12:35,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,Engineering,,Mathematics,,,Physics,,"Social, Economic, and Political Sciences",Statistics,,,,,1,2010,"Continuing Assistance to the National Institutes of Health on Preparation of Additional Risk Assessments for the Boston University NEIDL, Phase 2",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,"The report in question addressed risks from extremely pathogenic microbes in a laboratory funded by the National Institutes of Health.  I have chosen the ""no ecology"" response because ecology as usually defined in the literature did not apply.  Ecology in the context of microbial populations and evolution would apply, but only marginally.  Our focus was on risks of pathogenic microbes escaping containment.   /  /  ",1
33,R_1Htf7M1QPMQuK5D,Default Response Set,8/30/13 12:33,8/30/13 12:38,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,,,,,,,,,Evolution,Molecular Biology,,1,2010,Review of the Department of Homeland Security's Approach to Risk Analysis,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Strongly Disagree,Agree,Agree,,1
34,R_eYhKqyW5G8jDeVD,Default Response Set,8/30/13 13:07,8/30/13 13:28,1,1,1,4 or more reports,Agency scientist / resource management scientist,,,,,,,,Engineering,,,,Natural Resources,,,,,,,,,1,2010,Improving Water Quality in the Mississippi River Basin and Northern Gulf of Mexico: Strategies and Priorities,Yes,Yes,1,Somewhat Important,Neither Important nor Unimportant,Very Important,Very Important,Very Unimportant,Somewhat Important,Somewhat Important,Factor Importance,3,Factor Importance,5,Factor Importance,6,Factor Importance,1,Factor Importance,7,Factor Importance,2,Factor Importance,4,,,,,,,,,1,Infrequently,Always,Always,Infrequently,,,,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Ecology related references are becoming more important in the discussion process and report preparation in recent years as compared to earlier reports.  More Ecologists are participating in the committees.,1
35,R_8cbv5tmAeDi49Tf,Default Response Set,8/30/13 13:39,8/30/13 13:47,1,1,1,4 or more reports,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Toward Sustainable Agricultural Systems in the 21st Century,Yes,Yes,1,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Factor Importance,4,Factor Importance,7,Factor Importance,2,Factor Importance,3,Factor Importance,6,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Always,Infrequently,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,,1
36,R_ba2F6WCYOkDy2rP,Default Response Set,8/30/13 17:24,8/30/13 17:27,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,Education,,,,Medical Sciences,,,,,,,,,,1,2010,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,,1
37,R_6kWIbddWOFFtaVD,Default Response Set,8/30/13 19:40,8/30/13 19:47,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,,,,Natural Resources,,,,,,,,,1,2010,Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Unimportant,Somewhat Unimportant,Very Important,Somewhat Unimportant,Somewhat Important,Somewhat Important,Factor Importance,6,Factor Importance,7,Factor Importance,1,Factor Importance,2,Factor Importance,5,Factor Importance,3,Factor Importance,4,Citation Frequency,4,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,1,Always,Frequently,Frequently,Infrequently,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,,,Agree,Disagree,Agree,Agree,There was a dearth of quantitative and demographic studies for charismatic megafauna. ,1
38,R_6WjMLm04e4hDvbD,Default Response Set,8/31/13 7:07,8/31/13 7:20,1,1,1,2-3 reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,Medical Sciences,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Adapting to the Impacts of Climate Change,Yes,Yes,1,Very Important,Unable to Rate,Very Important,Very Important,Very Important,Very Important,Very Important,Factor Importance,6,Factor Importance,7,Factor Importance,4,Factor Importance,3,Factor Importance,2,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Infrequently,Frequently,Frequently,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,,1
39,R_exNOFJS98obZBWZ,Default Response Set,8/31/13 8:04,8/31/13 8:11,1,1,1,1 report,Other (please specify),cooperative extension specialist and research scientist,"Agriculture, Food, and Renewable Resources",,,Biology,,Education,,,,,,,,,,Ecology,,,Physiology,1,2010,Toward Sustainable Agricultural Systems in the 21st Century,Yes,Yes,1,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Neither Important nor Unimportant,Neither Important nor Unimportant,Factor Importance,7,Factor Importance,6,Factor Importance,1,Factor Importance,2,Factor Importance,3,Factor Importance,5,Factor Importance,4,Citation Frequency,4,Citation Frequency,2,Citation Frequency,3,Citation Frequency,1,1,Unable to Rate,Unable to Rate,Frequently,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Agree,Disagree,Strongly Agree,Strongly Agree,these are incredibly complex studies and require large collaborative groups to conduct and do appropriately.  it's a shame there isn't sufficient funding for such much needed work.,1
40,R_a9L9q4L93O45lbf,Default Response Set,8/31/13 11:32,8/31/13 13:52,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,Engineering,,Mathematics,,,,,,Statistics,,,,,1,2010,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
41,R_8jjht7tWnWtLIeV,Default Response Set,8/31/13 15:31,8/31/13 15:34,1,1,1,2-3 reports,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,,,,,,,,,,1,2010,Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,No,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
42,R_ddtygsrILarewZv,Default Response Set,9/1/13 10:21,9/1/13 10:37,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,,Natural Resources,,,,,,,,,1,2010,Missouri River Planning: Recognizing and Incorporating Sediment Management,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Factor Importance,7,Factor Importance,3,Factor Importance,5,Factor Importance,4,Factor Importance,6,Factor Importance,2,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,1,Always,Always,Frequently,Infrequently,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Agree,Disagree,Agree,Strongly Agree,"Long-term ecological studies (6+years ) of large rivers with consistent themes are quite rare and those that do exist are largely surveilance monitoring programs (i.e., status and trends) rather than targeted monitoring (i.e., hypothesis testing)  ",1
43,R_8B5pkBh39LuNp6l,Default Response Set,9/2/13 8:45,9/2/13 9:11,1,1,1,1 report,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,Physics,,,,,,,,1,2010,Assessment of Intraseasonal to Interannual Climate Prediction and Predictability,No,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,,1
44,R_00PjZ7a03UQFK2V,Default Response Set,9/2/13 12:45,9/2/13 12:52,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,Engineering,,,,,,,,,,,,,1,2010,Improving Water Quality in the Mississippi River Basin and Northern Gulf of Mexico: Strategies and Priorities,Yes,Yes,1,Somewhat Important,Somewhat Important,Unable to Rate,Unable to Rate,Very Important,Neither Important nor Unimportant,Very Important,Factor Importance,4,Factor Importance,3,Factor Importance,6,Factor Importance,7,Factor Importance,2,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,1,Infrequently,Frequently,Frequently,Frequently,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Important to have ecology perspective represented int he committee membership.,1
45,R_4Scf7jIkgUFFGG9,Default Response Set,9/2/13 15:37,9/2/13 15:49,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,Geology and Geography,,,Natural Resources,,,,,,,,,1,2010,Progress Toward Restoring the Everglades: The Third Biennial Review--2010,Yes,Yes,1,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Factor Importance,6,Factor Importance,5,Factor Importance,4,Factor Importance,7,Factor Importance,3,Factor Importance,1,Factor Importance,2,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,1,Infrequently,Frequently,Frequently,Infrequently,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,Citation Frequency,4,,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
46,R_9GiwBgZ1aHjPkLX,Default Response Set,9/2/13 16:22,9/2/13 16:27,1,1,1,1 report,Professor / academic researcher,,,,,,,,Engineering,,,,,,,,,,,,,1,2010,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
47,R_898eL6ooyiSlgot,Default Response Set,9/3/13 9:12,9/3/13 9:22,1,1,1,2-3 reports,Other (please specify),Resarcher at private research org.,,,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,Physiology,1,2010,,Yes,Yes,1,Somewhat Important,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Very Important,Factor Importance,4,Factor Importance,5,Factor Importance,2,Factor Importance,3,Factor Importance,7,Factor Importance,6,Factor Importance,1,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Frequently,Frequently,Frequently,Always,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
48,R_8xjbMNpWXAaghqR,Default Response Set,9/3/13 10:28,9/3/13 10:34,1,1,1,1 report,Professor / academic researcher,,,,,,Chemistry,,,Geology and Geography,,,,,,,,,,,,1,2010,Management and Effects of Coalbed Methane Produced Water in the United States,Yes,Yes,1,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Very Important,Neither Important nor Unimportant,Factor Importance,5,Factor Importance,7,Factor Importance,3,Factor Importance,2,Factor Importance,6,Factor Importance,1,Factor Importance,4,Citation Frequency,4,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,1,Infrequently,Frequently,Frequently,Infrequently,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Agree,Disagree,Agree,Agree,no other comments,1
49,R_ePSMTqOFnsXK5JH,Default Response Set,9/3/13 10:41,9/3/13 10:47,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,"Evaluation of a Site-Specific Risk Assessment for the Department of Homeland Security's Planned National Bio- and Agro-Defense Facility in Manhattan, Kansas",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
50,R_dcBWskXaLrVCPn7,Default Response Set,9/3/13 12:05,9/3/13 12:09,1,1,1,4 or more reports,Environmental professional,,,,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
51,R_3EkLs1aNT5UaiFv,Default Response Set,9/4/13 9:41,9/4/13 9:46,1,1,1,1 report,Other (please specify),Scientist at National Laboratory,,,,Biology,,,,,,Medical Sciences,Natural Resources,,,,,Ecology,,,Physiology,1,2010,Review of the Environmental Protection Agency's Draft IRIS Assessment of Tetrachloroethylene,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neither Agree nor Disagree,Agree,Agree,,1
52,R_6PY4WFexsJLTiQJ,Default Response Set,8/30/13 9:58,9/4/13 11:14,1,1,1,4 or more reports,Professor / academic researcher,,,,,Biology,,,,,,,,,,,,Ecology,,,,1,2010,Ecosystem Concepts for Sustainable Bivalve Mariculture,Yes,Yes,1,Neither Important nor Unimportant,Neither Important nor Unimportant,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Factor Importance,5,Factor Importance,6,Factor Importance,3,Factor Importance,4,Factor Importance,7,Factor Importance,2,Factor Importance,1,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,1,Infrequently,Always,Frequently,Never,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were less relevant to the topic of the NRC report.,,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,"In this NRC report on bivalve mariculture we had to consider both larval and post-larval dynamics. Hence, study duration was highly variable; duration was obviously study focus dependent.",1
53,R_dbVqomT2ZM8tX9P,Default Response Set,9/4/13 14:07,9/4/13 14:15,1,1,1,1 report,Professor / academic researcher,,,,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,Yes,Yes,1,Somewhat Unimportant,Somewhat Unimportant,Somewhat Important,Somewhat Important,Very Unimportant,Neither Important nor Unimportant,Very Important,Factor Importance,5,Factor Importance,4,Factor Importance,3,Factor Importance,2,Factor Importance,7,Factor Importance,6,Factor Importance,1,Citation Frequency,2,Citation Frequency,1,,,,,1,Infrequently,Always,Always,Always,Citation Frequency,2,Citation Frequency,1,,,,,,,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,I an an economists and my answers to many of the questions in this survey were uncertain,1
54,R_2lBEHD2GDKP4mEd,Default Response Set,9/4/13 14:57,9/4/13 15:02,1,1,1,4 or more reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,,,,,,1,2010,Advancing the Science of Climate Change,Yes,Yes,1,Somewhat Important,Neither Important nor Unimportant,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Very Important,Factor Importance,2,Factor Importance,6,Factor Importance,3,Factor Importance,7,Factor Importance,4,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Unable to Rate,Unable to Rate,Unable to Rate,Unable to Rate,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,,1
55,R_0T9irK1VlqszriR,Default Response Set,9/6/13 12:01,9/6/13 12:07,1,1,1,1 report,Professor / academic researcher,,,,,,,,Engineering,,,,,,,,,,,,,1,2010,Precise Geodetic Infrastructure: National Requirements for a Shared Resource,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
56,R_022ExnGKzfliiC9,Default Response Set,9/10/13 14:32,9/10/13 14:35,1,1,1,1 report,Professor / academic researcher,,,,,,,,,,,Medical Sciences,,,,,,,,,,1,2010,Review of the Environmental Protection Agency's Draft IRIS Assessment of Tetrachloroethylene,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,1
57,R_3XmU0lat89SfZAN,Default Response Set,9/16/13 6:35,9/16/13 6:41,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,,,,,,,,Ecology,,,,1,2010,Ecosystem Concepts for Sustainable Bivalve Mariculture,Yes,Yes,1,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Very Important,Factor Importance,3,Factor Importance,6,Factor Importance,4,Factor Importance,5,Factor Importance,7,Factor Importance,2,Factor Importance,1,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,1,Infrequently,Always,Always,Frequently,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,,,Agree,Neither Agree nor Disagree,Agree,Agree,,1
58,R_4ZNmSdlIkl67MIR,Default Response Set,9/23/13 9:26,9/23/13 9:28,1,1,1,1 report,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,Statistics,,,,,1,2010,Assessment of Intraseasonal to Interannual Climate Prediction and Predictability,No,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
59,R_6mc1w0MuHqumCVf,Default Response Set,9/30/13 14:44,9/30/13 14:53,1,1,1,1 report,Professor / academic researcher,,,,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,,1,2010,Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,Yes,Yes,1,Very Important,Somewhat Unimportant,Somewhat Important,Somewhat Important,Very Unimportant,Very Unimportant,Somewhat Important,Factor Importance,1,Factor Importance,7,Factor Importance,2,Factor Importance,3,Factor Importance,6,Factor Importance,5,Factor Importance,4,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,1,Frequently,Frequently,Always,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,"Our review was largely focused on modeling and vital rate analysis papers, so some questions here did not really apply. However, empirical studies of vital rates and other demographic data were more likely to be used if they covered an extended period of time, owing to the long lifespan of the study animal (sea turtles). ",1
60,R_e3rkGpRijMq9I9L,Default Response Set,9/30/13 16:23,9/30/13 16:27,1,1,1,4 or more reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,,,,,,1,2010,Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,Yes,Yes,1,Very Important,Unable to Rate,Unable to Rate,Unable to Rate,Very Important,Unable to Rate,Unable to Rate,Factor Importance,1,Factor Importance,4,Factor Importance,6,Factor Importance,5,Factor Importance,3,Factor Importance,7,Factor Importance,2,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Unable to Rate,Unable to Rate,Unable to Rate,Unable to Rate,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
61,R_0ue4MnHErEszClf,Default Response Set,9/30/13 17:24,9/30/13 17:27,1,1,1,1 report,Professor / academic researcher,,,,,,,,,,,,Natural Resources,,,,,,,,,1,2010,A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California's Bay Delta,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,The report was ultimately not used by management,1
62,R_0vaCg75KIwvtuHX,Default Response Set,9/30/13 19:39,9/30/13 19:47,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,,Natural Resources,,,,,,,,,1,2010,Progress Toward Restoring the Everglades: The Third Biennial Review--2010,Yes,Yes,1,Very Unimportant,Very Unimportant,Very Important,Very Important,Very Unimportant,Very Important,Very Important,Factor Importance,6,Factor Importance,5,Factor Importance,3,Factor Importance,4,Factor Importance,7,Factor Importance,1,Factor Importance,2,,,,,,,,,1,Unable to Rate,Unable to Rate,Unable to Rate,Unable to Rate,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,"To be honest, my answers to most of these questions about citations would probably not be accurate. ",1
63,R_9tSMcyalMK68yfr,Default Response Set,10/1/13 7:52,10/1/13 7:59,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,,1,2010,Ecosystem Concepts for Sustainable Bivalve Mariculture,Yes,Yes,1,Neither Important nor Unimportant,Neither Important nor Unimportant,Very Unimportant,Somewhat Important,Very Unimportant,Somewhat Important,Neither Important nor Unimportant,Factor Importance,3,Factor Importance,4,Factor Importance,6,Factor Importance,1,Factor Importance,7,Factor Importance,2,Factor Importance,5,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Infrequently,Always,Always,Never,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,,1
64,R_0j5n7H0dga8FZfn,Default Response Set,10/1/13 9:27,10/1/13 9:30,1,1,1,2-3 reports,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Toward Sustainable Agricultural Systems in the 21st Century,Yes,Yes,1,Very Important,Very Important,Very Important,Very Important,Neither Important nor Unimportant,Neither Important nor Unimportant,Very Important,Factor Importance,5,Factor Importance,2,Factor Importance,4,Factor Importance,3,Factor Importance,6,Factor Importance,7,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Infrequently,Always,Always,Always,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,,1
65,R_51P3Qhphsp2mVPn,Default Response Set,10/1/13 12:26,10/1/13 12:33,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,Education,,,,,Natural Resources,,,,Statistics,Ecology,,,,1,2010,Review of the St. Johns River Water Supply Impact Study: Report 3,Yes,Yes,1,Very Important,Neither Important nor Unimportant,Very Important,Very Important,Neither Important nor Unimportant,Somewhat Important,Very Important,Factor Importance,4,Factor Importance,7,Factor Importance,2,Factor Importance,3,Factor Importance,6,Factor Importance,1,Factor Importance,5,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Infrequently,Always,Frequently,Frequently,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were less relevant to the topic of the NRC report.,,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,,1
66,R_bxRshpx0PKtPiaV,Default Response Set,9/19/13 9:00,10/1/13 20:56,1,1,1,1 report,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,,,,,,,,,,1,2010,Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,Yes,Yes,1,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Factor Importance,2,Factor Importance,6,Factor Importance,4,Factor Importance,5,Factor Importance,7,Factor Importance,3,Factor Importance,1,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Always,Always,Always,Always,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We did not consider study duration in reference selection.,,Agree,Strongly Disagree,Agree,Agree,There were not a lot of long term studies on this NRC issue.,1
