NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Lehman, P. W., G. Boyer, C. Hall, S. Walker, and K. Gehrts. 2005. Distribution and toxicity of a new colonial Microcystis aeriginosa bloom in the San Francisco Bay estuary, California. Hydrobiologia 541:87-99.",Lehman,HYDROBIOLOGIA,2005,2003,2003,1,marine/freshwater,USA,USA,10.1007/s10750-004-4670-0 ,43,,0,"What is the distribution, biomass and toxicity of a new colonial cyanobacteria in the SF Bay Estuary?",None,Reimer,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Lehman, P. W., G. Boyer, M. Satchwell, and S. Walker. 2008. The influence of environmental conditions on the seasonal variation of Microcystis abun- dance and microcystins concentration in San Francisco Estuary. Hydrobiologia 600: 187-204.",Lehman,HYDROBIOLOGIA,2008,2004,2004,1,marine/freshwater,USA,USA,10.1007/s10750-007-9231-x,25,5.00,,The influence of environmental conditions on the seasonal variation of Microcystis abun- dance and microcystins concentration in San Francisco Estuary.,None,Robinson,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Gazeau, F., C. Quiblier, J.M. Jansen, J. Gattuso, J.J. Middelberg, and C.H.R. Heip. 2007. Impact of elevated CO2 on shellfish calcification. Geophysical Research Letters L07603. [doi:10.1029/2006GL028554]",Gazeau,J GEOPHYS RES,2007,2006,2006,1,marine/freshwater,USA,USA,10.1029/2006GL028554,183,,0,Does calcification of  mussels and Pacific oysters deline with increasing CO2?,NA,GrorudColvert,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Erbland, P.J. and G. Ozbay. 2008. Comparison of the macrofaunal communities inhabiting
a Crassostrea virginica oyster reef and oyster aquaculture gear in Indian River Bay,
Delaware.
Journal of Shellfish Research 27(4):757-768.",Erbland,J SHELL RES,2008,2006,2006,1,marine/freshwater,USA,USA,10.2983/0730-8000(2008)27[757:ACOTMC]2.0.CO;2,7,,0,Does the substrate provided by oyster aquaculture impact the macro-epi and infaunal communities and sediments within an estuary in a similar fashion to natural oyster reefs?,None,Reimer,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Locke, A., K.G. Doe, W.L. Fairchild, P.M. Jackman, and E.J. Reese. 2009. Preliminary evaluation
of effects of invasive tunicate management with acetic acid and calcium hydroxide
on non-target marine organisms in Prince Edward Island, Canada. Aquatic Invasions
4(1):221-236.",Locke,AQUATIC INVASIONS,2009,2007,2007,1,marine/freshwater,Canada,Canada,10.3391/ai.2009.4.1.23,26,,0,"How does invasive tunicate management affect non-target organisms in Prince Edward Island, Canada?",None,Reimer,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Green, M. A., G. G. Waldbusser, S. L. Reilly, K. Emerson, and S. O’Donnell. 2009. Death by
dissolution: Sediment saturation state as a mortality factor for juvenile bivalves. Limnology
and Oceanography 54 (4):1037-1047.",Green,LIMNOL OCEANOGR,2009,2007,2007,1,marine/freshwater,USA,USA,NA,,,0,,None,Reimer,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Semesi, I.S., S. Beer, and M. Björk. 2009a. Seagrass photosynthesis controls rates of calcification and photosynthesis of calcareous macroalgae in a tropical seagrass meadow. Marine Ecology Progress Series 382: 41­47.",Semesi,MAR ECOL PROG SER,2009,2008,2008,1,marine/freshwater,Tanzania,Tanzania,10.3354/meps07973,19,,0,We investigated whether diel variations in pH caused by photosynthesis could affect rates of calcification and photosynthesis of the calcareous red (Hydrolithon sp. and Mesophyllum sp.) and green (Halimeda renschii) algae growing within seagrass meadows.,None,Reimer,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Christensen, P.B., R.N. Glud, T. Dalsgaard, and P. Gillespie. 2003. Impacts of longline mussel
farming on oxygen and nitrogen dynamics and biological communities of coastal sediments.
Aquaculture 218(1-4):567-588.",Christensen,AQUACULTURE,2003,9999,9999,1,marine/freshwater,Denmark,New Zealand,"10.1016/S0044-8486(02)00587-2,",80,,0,How does mussel aquaculture affect orimary production and nutrient cycling in an estuary?,None,Reimer,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Watson, S.A., P.C. Southgate, P.A. Tyler, and L.S. Peck. 2009. Early Larval Development of the Sydney Rock Oyster Saccostrea glomerata Under Near­Future Predictions of CO2­Driven Ocean Acidification. Journal of Shellfish Research 28(3):431­437.",Watson,J SHELL RES,2009,9999,9999,1,marine/freshwater,United Kingdom,Australia,10.2983/035.028.0302,34,8.50,,Early Larval Development of the Sydney Rock Oyster Saccostrea glomerata Under Near­Future Predictions of CO2­Driven Ocean Acidification.,None,Robinson,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Soniat, T.M. and G.M. Burton. 2005. A comparison of the effectiveness of sandstone and limestone as cultch for oysters, Crassostrea virginica. Journal of Shellfish Research 24:483-485.",Soniat,J SHELL RES,2005,9999,9999,1,marine/freshwater,USA,USA,NA,8,,0,"Does limestone or sandstone catch oyster spat better, and is sandstone a suitable cultch for oysters?",None,Reimer,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"D’Andrea, A.F. and T.H. DeWitt. 2009. Geochemical ecosystem engineering by the mud
shrimp Upogebia pugettensis (Crustacea: Thalassinidae) in Yaquina Bay, Oregon: Densitydependent
effects on organic matter remineralization and nutrient cycling. Limnology
and Oceanography 54(6):1911-1932.",D'Andrea,LIMNOL OCEANOGR,2009,9999,9999,1,marine/freshwater,USA,USA,10.4319/lo.2009.54.6.1911,16,4.00,0,role of ecosystem engineers in biogeochemical cycling,None,Close,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Miller, A. W., A. C. Reynolds, C. Sobrino, and G. F. Riedel. 2009. Shellfish face uncertain future in high CO2 world: Influence of acidification on oyster larvae calcification and growth in estuaries. PLoS One 4(5):e5661.",Miller,PLOS ONE,2009,9999,9999,1,marine/freshwater,USA,USA,10.1371/journal.pone.0005661,65,16.25,0,Influence of ocean acidification on oyster larvae in estuaries,None,Close,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Navedo, J.G. and J.A. Masero. 2008. Effects of traditional clam harvesting on the foraging ecology of migrating curlews (Numenius arquata). Journal of Experimental Marine Biology and Ecology 355(1):59-65.",Navedo,J EXP MAR BIOL ECOL,2008,2005,2005,1,marine/terrestrial,Spain,Spain,10.1016/j.jembe.2007.11.016,4,,0,effects of human fishery actions on ecosystem,NA,Rohrer,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Martin, R.E., and G.P. Asner, 2005, Regional estimate of nitric oxide emissions following woody encroachment: Linking imaging spectroscopy and field studies, Ecosystems, 8, 33-47.",Martin,ECOSYSTEMS,2005,1970,2001,1,terrestrial,USA,USA,10.1007/s10021-004-0010-5 ,10,,1,What are the impacts of woody encroachment on N oxide emissions from savanna regions?,"Study only specifcally looked at May-Aug 2001. All data sets were cut to that time period, except for the climate data, which was averaged from 20 years of a 30 year dataset were used from NOAA. 2001. Climatological data, 1970–2000, National Oceanic and Atmospheric Administration National Climatic Data Center.",Reimer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Kirkpatrick, K.J., and H.D. Wilson. 1988. Interspecific gene flow in Cucurbita: C. texana vs. C.
pepo. American Journal of Botany 75(4):519–527.",Kirkpatrick,AM J BOT,1988,1982,1982,1,terrestrial,USA,USA,10.2307/2444217,81,,0,Gene flow between crops and natural populations,NA,Rohrer,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Carlisle, S.M., and J.T. Trevors. 1986. Effect of the herbicide glyphosate on respiration and
hydrogen consumption in soil. Water, Air, and Soil Pollution 27(3–4):391–401.",Carlisle,WATER AIR SOIL POLL,1986,1985,1985,1,terrestrial,Canada,Canada,10.1007/BF00649420,17,,0,pesticide effects on soil microorganisms,NA,Rohrer,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Advancing the Science of Climate Change,"Hunt, R., D. W. Hand, M. A. Hannah, and A. M. Neal. 1991. Response to CO2 enrichment in 27 herbaceous species. Functional Ecology 5(3):410-421.",Hunt,FUNCT ECOL,1991,1989,1989,1,terrestrial,United Kingdom,United Kingdom,10.2307/2389813,175,7.95,0,How does yield of British native and cultivated plants respond to increased CO2?,NA,Cerny-Chipman,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Craft, C. B., and C. J. Richardson. 1993. Peat accretion and N, P, and organic C accumulation in nutrient-enriched and unenriched Everglades peatlands. Ecological Applications 3:446–458.",Craft,ECOL APPL,1993,1989,1989,1,terrestrial,USA,USA,10.2307/1941914,119,,0,human effects on soil quality,NA,Rohrer,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Freemark, K.E., and D.A. Kirk. 2001. Birds on organic and conventional farms in Ontario: partitioning effects of
habitat and practices on species composition and abundance. Biological Conservation 101(3):337–350.",Freemark,BIOL CONSERV,2001,1990,1990,1,terrestrial,Canada,Canada,10.1016/S0006-3207(01)00079-9  ,70,,0,How does the farmland bird community change between organic and conventional farms?,"Used a dataset from 1967-1998 to compare their findings to, but did not explicitly use it",Reimer,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Advancing the Science of Climate Change,"Arriaga, L., A. E. Castellanos, E. Moreno, and J. Alarcon. 2004. Potential ecological distribution of alien invasive species and risk assessment: A case study of buffel grass in arid regions of Mexico. Conservation Biology 18(6):1504-1514.",Arriaga,CONSERV BIOL,2004,1993,1993,1,terrestrial,Mexico,Mexico,10.1111/j.1523-1739.2004.00166.x,34,,0,invasive species expansion modelling,Model with case study verification,Rohrer,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Gould, F., A. Anderson, A. Jones, D. Sumerford, D.G. Heckel, J. Lopez, S. Micinski, R. Leonard, and M. Laster. 1997. Initial frequency of alleles for resistance to Bacillus thuringiensis toxins in field populations of Heliothis virescens. Proceedings of the National Academy of Sciences of the United States of America 94(8):3519–3523.",Gould,P NATL ACAD SCI USA,1997,1993,1993,1,terrestrial,USA,USA,NA,193,,0,What is the field frequency of alleles resistant to Bt toxin found in insect pests?,NA,GrorudColvert,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Orr, D.B., and D.A. Landis. 1997. Oviposition of European corn borer (Lepidoptera: Pyralidae)
and impact of natural enemy populations in transgenic versus isogenic corn. Journal of
Economic Entomology 90(4):905–909.",Orr,J ECON ENTOMOL,1997,1994,1994,1,terrestrial,USA,USA,NA,98,6.13,0,Is the oviposition in the european corn borer different in iso and transgenic corn?,NA,Cerny-Chipman,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Advancing the Science of Climate Change,"Semenza, J. C., C. H. Rubin, K. H. Falter, J. D. Selanikio, W. D. Flanders, H. L. Howe, and J. L. Wilhelm. 1996. Heat-related deaths during the July 1995 heat wave in Chicago. New England Journal of Medicine 335(2):84-90.",Semenza,NEW ENGL J MED,1996,1995,1995,1,terrestrial,USA,USA, 10.1056/NEJM199607113350203,345,,0,"Using data from a heat wave in Chicago, which people are most at risk for heat-related death?",NA,GrorudColvert,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Kaiser, R., A. Le Tertre, J. Schwartz, C. A. Gotway, W. R. Daley, and C. H. Rubin. 2007. The
effect of the 1995 heat wave in Chicago on all-cause and cause-specific mortality. American
Journal of Public Health 97 (SUPPL 1).",Kaiser,AM J PUBLIC HEALTH,2007,1995,1995,1,terrestrial,USA,USA,http://www.ncbi.nlm.nih.gov/pubmed/17413056,NA,NA,,"The
effect of the 1995 heat wave in Chicago",None,Robinson,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Collins, K.L., N.D. Boatman, A. Wilcox, J.M. Holland, and K. Chaney. 2002. Influence of beetle banks on cereal, aphid predation in winter wheat. Agriculture Ecosystems & Environment 93(1–3):337–350.",Collins,AGR ECOSYST ENVIRON,2002,1996,1996,1,terrestrial,United Kingdom,United Kingdom,10.1016/S0167-8809(01)00340-1,67,,0,"farm yield, agronomy",NA,Rohrer,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Tharp, B.E., and J.J. Kells. 1999. Influence of herbicide application rate, timing, and interrow
cultivation on weed control and corn (Zea mays) yield in glufosinate-resistant and
glyphosate-resistant corn. Weed Technology 13(4):807–813.",Tharp,WEED TECH,1999,1996,1997,1,terrestrial,USA,USA,NA,31,,0,influence of herbicide application rate on two types of corn,None,Focht,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Faghihi, M.M., M. Salehi, A. Bagheri, and K. Izadpanah. 2009. First report of citrus huanglongbing disease on orange in Iran. Plant Pathology 58(4):793.",Faghihi,PLANT PATHOL.,2009,1997,1997,1,terrestrial,Iran,Iran,10.1111/j.1365-3059.2009.02051.x,1,0.25,0,First report of citrus huanglongbing disease on orange in Iran,NA,Hettinger,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Thimsuwan, Y., A. Eiumnoh, K. Honda, and T. Tingsanchali, 2000, Estimation of methane emission from a deep-water rice field using Landsat TM and NOAA AVHRR: A case study of Bangkok Plain, Imaging Science Journal, 48, 77-85.",Thimsuwan,IMAGING SCI J,2000,1997,1997,1,terrestrial,Thailand,Thailand,NA,0,,0,,,Rose,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Andow, D.A., D.M. Olson, R.L. Hellmich, D.N. Alstad, and W.D. Hutchison. 2000. Frequency
of resistance to Bacillus thuringiensis toxin Cry1Ab in an Iowa population of European
corn borer (Lepidoptera: Crambidae). Journal of Economic Entomology 93(1):26–30.",Andow,J ECON ENTOMOL,2000,1997,1997,1,terrestrial,USA,USA,NA,66,5.08,0,How resistant are european corn borers to a type of BT transgenic corn?,NA,Cerny-Chipman,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Tabashnik, B.E., A.L. Patin, T.J. Dennehy, Y.B. Liu, E. Miller, and R.T. Staten. 1999. Dispersal of pink bollworm (Lepidoptera: Gelechiidae) males in transgenic cotton that produces a Bacillus thuringiensis toxin. Journal of Economic Entomology 92(4):772–780.",Tabashnik,J ECON ENTOMOL,1999,1997,1997,1,terrestrial,USA,USA,NA,23,1.64,0,What is the distribution of wild mals and dispersal of sterile males of the pink bollworm?,None,Barner,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Hung, T.H., M.L. Wu, and H.J. Su. 2000. Identification of alternative hosts of the fastidious
bacterium causing citrus greening disease. Journal of Phytopathology 148(6):321–326.",Hung,J PHYTOPATHOL,2000,1999,1999,1,terrestrial,Taiwan,Taiwan,10.1111/j.1439-0434.2000.tb04782.x,12,,0,agronomy - pest ecology,NA,Rohrer,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Monitoring Climate Change Impacts: Metrics at the Intersection of the Human and Earth Systems,"Derner, J. D., H. B. Johnson, B. A. Kimball, P. J. Pinter Jr., H. W. Polley, C. R. Tischler, T. W. Bouttons, R. L. LaMorte, G. W. Wall, N. R. Adam, S. W. Leavitt, M. J. Ottman, A. D. Matthias, T. J. Brooks. 2003. Above- and below-ground responses of C3-C4 species mixtures to elevated CO2 and soil water availability. Global Change Biology, 9:452-460.",Derner,GLOB CHANGE BIOL,2003,1999,1999,1,terrestrial,USA,USA,10.1046/j.1365-2486.2003.00579.x,36,3.60,,Above- and below-ground responses of C3-C4 species mixtures to elevated CO2 and soil water availability.,None,Robinson,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Advancing the Science of Climate Change,"Naughton, M. P., A. Henderson, M. C. Mirabelli, R. Kaiser, J. L. Wilhelm, S. M. Kieszak, C. H. Rubin, and M. A. Mcgeehin. 2002. Heat-related mortality during a 1999 heat wave in Chicago. American Journal of Preventive Medicine 22(4):221-227.",Naughton,J PREV MED,2002,1999,1999,1,terrestrial,USA,USA,http://dx.doi.org/10.1016/S0749-3797(02)00421-X,123,11.18,0,Human mortality from heat wave in Chicago,NA,Hettinger,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Mols, C.M.M., and M.E. Visser. 2002. Great tits can reduce caterpillar damage in apple orchards. Journal of Applied
Ecology 39(6):888–899.",Mols,J APPL ECOL,2002,2000,2000,1,terrestrial,Netherlands,Netherlands,10.1046/j.1365-2664.2002.00761.x,57,5.18,0,Can Great Tits increase apple yield and reduce catapillar damage in apple orchards?,NA,Cerny-Chipman,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Zwahlen, C., A. Hilbeck, R. Howald, and W. Nentwig. 2003. Effects of transgenic Bt corn
litter on the earthworm Lumbricus terrestris. Molecular Ecology 12(4):1077–1086.",Zwahlen,MOL ECOL,2003,2000,2000,1,terrestrial,Switzerland,Switzerland,10.1046/j.1365-294X.2003.01799.x,74,7.40,,"Effects of transgenic Bt corn
litter on the earthworm Lumbricus terrestris.",None,Robinson,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Perfecto, I., J.H. Vandermeer, G.L. Bautista, G.I. Nunez, R. Greenberg, P. Bichier, and S. Langridge. 2004. Greater
predation in shaded coffee farms: the role of resident neotropical birds. Ecology 85(10):2677–2681.",Perfecto,ECOLOGY,2004,2001,2001,1,terrestrial,USA,Mexico,10.1890/03-3145,67,,0,Insect predation by birds in coffee farms with different levels of plant diversity,This study was conducted taking advantage of bird exclosures that were set in November 2000 as part of another study. Start in 2000 or 2001?,Shen,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"May, O.L., A.S. Culpepper, R.E. Cerny, C.B. Coots, C.B. Corkern, J.T. Cothren, K.A. Croon, K.L. Ferreira, J.L. Hart, R.M. Hayes, S.A. Huber, A.B. Martens, W.B. McCloskey, M.E. Oppenhuizen, M.G. Patterson, D.B. Reynolds, Z.W. Shappley, J. Subramani, T.K. Witten, A.C. York, and B.G. Mullinix Jr. 2004. Transgenic cotton with improved resistance to glyphosate herbicide. Crop Science 44(1):234–240.",May,CROP SCI,2004,2001,2001,1,terrestrial,USA,USA,NA,11,1.22,0,Does lab-tested cotton with further transgenic resistance have higher yields with glyphosate herbicide application at the 4-leaf stage?,NA,Cerny-Chipman,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"French, J.V., C.J. Kahlke, and J.V.d. Graça. 2001. First record of the Asian citrus psylla, Diaphorina citri Kuwayama (Homoptera:Psyllidae), in Texas. Subtropical Plant Science 53:14–15.",French,SUBTROPICAL PLANT SCIENCE,2001,2001,2001,1,terrestrial,USA,USA,NA,NA,#VALUE!,0,Observation of the Asian citrus Psylla in Texas (found at a citrus center).,"This isn't really a study as much as a single observation. Also, not in web of science",Cerny-Chipman,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Beckie, H.J., G. Séguin-Swartz, H. Nair, S.I. Warwick, and E. Johnson. 2004. Multiple herbicideresistant
canola can be controlled by alternative herbicides. Weed Science 52(1):152–157.",Beckie,WEED SCI,2004,2002,2002,1,terrestrial,Canada,Canada,10.1614/P2002-163,23,2.56,,"Multiple herbicideresistant
canola can be controlled by alternative herbicides.",None,Robinson,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States,"Andersen, N.S., H.R. Siegismund, V. Meyer, and R.B. Jørgensen. 2005. Low level of gene flow from cultivated beets (Beta vulgaris L. ssp. vulgaris) into Danish populations of sea beet (Beta vulgaris L. ssp. maritima (L.) Arcangeli). Molecular Ecology 14(5):1391–1405.",Andersen,MOL ECOL,2005,2002,2002,1,terrestrial,Denmark,Denmark,10.1111/j.1365-294X.2005.02490.x,14,,0,level of gene flow between cultivated beets and sea beets,None,Focht,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Andersen, N.S., H.R. Siegismund, V. Meyer, and R.B. Jørgensen. 2005. Low level of gene flow
from cultivated beets (Beta vulgaris L. ssp. vulgaris) into Danish populations of sea beet
(Beta vulgaris L. ssp. maritima (L.) Arcangeli). Molecular Ecology 14(5):1391–1405.",Andersen,MOL ECOL,2005,2002,2002,1,terrestrial,Denmark,Denmark,10.1111/j.1365-294X.2005.02490.x ,12,1.50,,"Low level of gene flow
from cultivated beets (Beta vulgaris L. ssp. vulgaris) into Danish populations of sea beet
(Beta vulgaris L. ssp. maritima (L.) Arcangeli).",None,Robinson,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Pywell, R.F., K.L. James, I. Herbert, W.R. Meek, C. Carvell, D. Bell, and T.H. Sparks. 2005. Determinants of overwintering habitat quality for beetles and spiders on arable farmland. Biological Conservation 123(1):79–90.",Pywell,BIOL CONSERV,2005,2002,2002,1,terrestrial,United Kingdom,United Kingdom,10.1016/j.biocon.2004.10.010,28,3.50,0,Determinants of overwintering habitat quality for beetles and spiders on arable farmland,NA,Hettinger,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Villalobos, W., D. Hollis, C. Godoy, and C. Rivera. 2005. First report of Diaphorina citri (Hemiptera: Psyllidae) in Costa Rica. Insecta Mundi 19(3):191–192.",Villalobos,INSECTA MUNDI,2005,2003,2003,1,terrestrial,Costa Rica,Costa Rica,http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1098&context=insectamundi,NA,#VALUE!,,First report of Diaphorina citri (Hemiptera: Psyllidae) in Costa Rica.,None,Robinson,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Sherry, R. A., X. H. Zhou, S. L. Gu, J. A. Arnone, D. S. Schimel, P. S. Verburg, et al. 2007. Divergence of reproductive phenology under climate warming. Proceedings of the National Academy of Sciences of the United States of America 104 (1):198-202.",Sherry,P NATL ACAD SCI USA,2007,2003,2003,1,terrestrial,USA,USA,10.1073/pnas.0605642104,137,,0,,,Rose,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Management and Effects of Coalbed Methane Produced Water in the United States,"Stearns, M., J.A. Tindall, G. Cornin, M.J. Friedel, and E. Bergquist. 2005. Effects of coal-bed methane discharge waters on the vegetation and soil ecosystem in Powder River Basin, Wyoming. Water, Air, and Soil Pollution 168:33-57.",Stearns,WATER AIR SOIL POLL,2001,2003,2003,1,terrestrial,USA,USA,10.1007/s11270-005-0588-z,15,,0,,None,Rose,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Coletta-Filho, H.D., M.L.P.N. Targon, M.A. Takita, J.D. De Negri, J. Pompeu, M.A. Machado, A.M. do Amaral, and G.W. Muller. 2004. First report of the causal agent of huanglongbing (Candidatus Liberibacter asiaticus) in Brazil. Plant Disease 88(12):1382–1382.",Coletta-Filho,PLANT DIS,2004,2004,2004,1,terrestrial,Brazil,Brazil,10.1094/PDIS.2004.88.12.1382C,39,4.33,0,Note on first appearance of huanglongbing disease in Brazil,None,Barner,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Teixeira, D.C., J. Ayres, E.W. Kitajima, L. Danet, S. Jagoueix-Eveillard, C. Saillard, and J.M. Bové. 2005a. First report of a huanglongbing-like disease of citrus in São Paulo State, Brazil and association of a new Liberibacter species, “Candidatus Liberibacter americanus”, with the disease. Plant Disease 89(1):107.",Teixeira,PLANT DISEASE,2005,2004,2004,1,terrestrial,Brazil,Brazil,10.1094/PD-89-0107A,20,,0,reporting of citrus disease supported with molecular techniques,None,Focht,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Phipps, R.H., A.K. Jones, A.P. Tingey, and S. Abeyasekera. 2005. Effect of corn silage from
an herbicide-tolerant genetically modified variety on milk production and absence of
transgenic DNA in milk. Journal of Dairy Science 88(8):2870–2878.",Phipps,J DAIRY SCI,2005,2004,2004,1,terrestrial,England,England,http://www.sciencedirect.com/science/article/pii/S0022030205729684,16,2.00,,"Effect of corn silage from
an herbicide-tolerant genetically modified variety on milk production and absence of
transgenic DNA in milk.",None,Robinson,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Sisterson, M.S., R.W. Biggs, N.M. Manhardt, Y. Carrière, T.J. Dennehy, and B.E. Tabashnik. 2007. Effects of transgenic Bt cotton on insecticide use and abundance of two generalist predators. Entomologia Experimentalis et Applicata 124(3):305–311.",Sisterson,ENT EXP APPL,2007,2004,2004,1,terrestrial,USA,USA,10.1111/j.1570-7458.2007.00584.x,11,1.83,0,What is the efect of Bt cotton on insecticide use and abundance of two non-target generalist predator arthropods?,None,Barner,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Werner, B.J., T.M. Mowry, N.A. Bosque-Pérez, H. Ding, and S.D. Eigenbrode. 2009. Changes
in green peach aphid responses to potato leafroll virus—induced volatiles emitted during
disease progression. Environmental Entomology 38(5):1429-1438.",Werner,ENVIRON ENTOMOL,2009,2004,2004,1,terrestrial,USA,USA,http://dx.doi.org/10.1603/022.038.0511,12,,0,Effect of potato leafroll virus on the settlement of aphids on potato plants,None,Shen,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
